"word","LikeCount","Recent","Topic"
"2145","subscribers","Low Popularity","Low Priority","Review"
"2146","review","Low Popularity","Low Priority","Review"
"2147","colby","Low Popularity","Low Priority","Review"
"2148","merch","Low Popularity","Low Priority","Review"
"2149","watch","Low Popularity","Low Priority","Review"
"2150","sierra","Low Popularity","Low Priority","Review"
"2151","dress","Low Popularity","Low Priority","Review"
"2152","rack","Low Popularity","Low Priority","Review"
"2153","cute","Low Popularity","Low Priority","Review"
"2154","sierra","Low Popularity","Low Priority","Review"
"2155","love","Low Popularity","Low Priority","Review"
"2156","video","Low Popularity","Low Priority","Review"
"2157","positive","Low Popularity","Low Priority","Review"
"2158","funny","Low Popularity","Low Priority","Review"
"2159","honest","Low Popularity","Low Priority","Review"
"2160","review","Low Popularity","Low Priority","Review"
"2161","dresses","Low Popularity","Low Priority","Review"
"2162","lulus","Low Popularity","Low Priority","Review"
"2163","hope","Low Popularity","Low Priority","Review"
"2164","comment","Low Popularity","Low Priority","Review"
"2165","shirt","Low Popularity","Low Priority","Review"
"2166","intro","Low Popularity","Low Priority","Review"
"2167","safiya","Low Popularity","Low Priority","Review"
"2168","line","Low Popularity","Low Priority","Review"
"2169","alex","Low Popularity","Low Priority","Review"
"2170","garza","Low Popularity","Low Priority","Review"
"2171","sisi","Low Popularity","Low Priority","Review"
"2172","wear","Low Popularity","Low Priority","Review"
"2173","sweat","Low Popularity","Low Priority","Review"
"2174","pants","Low Popularity","Low Priority","Review"
"2175","dress","Low Popularity","Low Priority","Review"
"2176","victoria","Low Popularity","Low Priority","Review"
"2177","beckham","Low Popularity","Low Priority","Review"
"2178","meagan","Low Popularity","Low Priority","Review"
"2179","markle","Low Popularity","Low Priority","Review"
"2180","kate","Low Popularity","Low Priority","Review"
"2181","middleton","Low Popularity","Low Priority","Review"
"2182","queen","Low Popularity","Low Priority","Review"
"2183","elizabeth","Low Popularity","Low Priority","Review"
"2184","week","Low Popularity","Low Priority","Review"
"2185","british","Low Popularity","Low Priority","Review"
"2186","fashionistas","Low Popularity","Low Priority","Review"
"2187","funny","Low Popularity","Low Priority","Review"
"2188","heels","Low Popularity","Low Priority","Review"
"2189","hats","Low Popularity","Low Priority","Review"
"2190","incredible","Low Popularity","Low Priority","Review"
"2191","loved","Low Popularity","Low Priority","Review"
"2192","love","Low Popularity","Low Priority","Review"
"2193","honest","Low Popularity","Low Priority","Review"
"2194","david","Low Popularity","Low Priority","Review"
"2195","dobrik","Low Popularity","Low Priority","Review"
"2196","love","Low Popularity","Low Priority","Review"
"2197","videos","Low Popularity","Low Priority","Review"
"2198","watched","Low Popularity","Low Priority","Review"
"2199","notice","Low Popularity","Low Priority","Review"
"2200","unisex","Low Popularity","Low Priority","Review"
"2201","items","Low Popularity","Low Priority","Review"
"2202","tend","Low Popularity","Low Priority","Review"
"2203","quality","Low Popularity","Low Priority","Review"
"2204","female","Low Popularity","Low Priority","Review"
"2205","oriented","Low Popularity","Low Priority","Review"
"2206","lower","Low Popularity","Low Priority","Review"
"2207","david","Low Popularity","Low Priority","Review"
"2208","doesn","Low Popularity","Low Priority","Review"
"2209","booty","Low Popularity","Low Priority","Review"
"2210","shorts","Low Popularity","Low Priority","Review"
"2211","sweatshirt","Low Popularity","Low Priority","Review"
"2212","feels","Low Popularity","Low Priority","Review"
"2213","love","Low Popularity","Low Priority","Review"
"2214","videos","Low Popularity","Low Priority","Review"
"2215","tanner","Low Popularity","Low Priority","Review"
"2216","merch","Low Popularity","Low Priority","Review"
"2217","ricky","Low Popularity","Low Priority","Review"
"2218","dillon","Low Popularity","Low Priority","Review"
"2219","merch","Low Popularity","Low Priority","Review"
"2220","dolan","Low Popularity","Low Priority","Review"
"2221","twins","Low Popularity","Low Priority","Review"
"2222","laurdiys","Low Popularity","Low Priority","Review"
"2223","merch","Low Popularity","Low Priority","Review"
"2224","planning","Low Popularity","Low Priority","Review"
"2225","ideas","Low Popularity","Low Priority","Review"
"2226","clothing","Low Popularity","Low Priority","Review"
"2227","merch","Low Popularity","Low Priority","Review"
"2228","channel","Low Popularity","Low Priority","Review"
"2229","video","Low Popularity","Low Priority","Review"
"2230","sharing","Low Popularity","Low Priority","Review"
"2231","tips","Low Popularity","Low Priority","Review"
"2232","creating","Low Popularity","Low Priority","Review"
"2233","line","Low Popularity","Low Priority","Review"
"2234","reviewed","Low Popularity","Low Priority","Review"
"2235","personal","Low Popularity","Low Priority","Review"
"2236","experience","Low Popularity","Low Priority","Review"
"2237","love","Low Popularity","Low Priority","Review"
"2238","advice","Low Popularity","Low Priority","Review"
"2239","start","Low Popularity","Low Priority","Review"
"2240","tala","Low Popularity","Low Priority","Review"
"2241","gracefituk","Low Popularity","Low Priority","Review"
"2242","glad","Low Popularity","Low Priority","Review"
"2243","clickbait","Low Popularity","Low Priority","Review"
"2244","crewneck","Low Popularity","Low Priority","Review"
"2245","fits","Low Popularity","Low Priority","Review"
"2246","perfect","Low Popularity","Low Priority","Review"
"2247","happy","Low Popularity","Low Priority","Review"
"2248","sports","Low Popularity","Low Priority","Review"
"2249","worried","Low Popularity","Low Priority","Review"
"2250","bigger","Low Popularity","Low Priority","Review"
"2251","didn","Low Popularity","Low Priority","Review"
"2252","didnt","Low Popularity","Low Priority","Review"
"2253","saving","Low Popularity","Low Priority","Review"
"2254","money","Low Popularity","Low Priority","Review"
"2255","jeffrey","Low Popularity","Low Priority","Review"
"2256","star","Low Popularity","Low Priority","Review"
"2257","merch","Low Popularity","Low Priority","Review"
"2258","safiya","Low Popularity","Low Priority","Review"
"2259","nygaard","Low Popularity","Low Priority","Review"
"2260","merch","Low Popularity","Low Priority","Review"
"2261","waiting","Low Popularity","Low Priority","Review"
"2262","sponsored","Low Popularity","Low Priority","Review"
"2263","seat","Low Popularity","Low Priority","Review"
"2264","geek","Low Popularity","Low Priority","Review"
"2265","merch","Low Popularity","Low Priority","Review"
"2266","hideous","Low Popularity","Low Priority","Review"
"2267","laurdiy","Low Popularity","Low Priority","Review"
"2268","joey","Low Popularity","Low Priority","Review"
"2269","graceffa","Low Popularity","Low Priority","Review"
"2270","alex","Low Popularity","Low Priority","Review"
"2271","wasabi","Low Popularity","Low Priority","Review"
"2272","merch","Low Popularity","Low Priority","Review"
"2273","taylor","Low Popularity","Low Priority","Review"
"2274","swift","Low Popularity","Low Priority","Review"
"2275","merch","Low Popularity","Low Priority","Review"
"2276","review","Low Popularity","Low Priority","Review"
"2277","sierra","Low Popularity","Low Priority","Review"
"2278","talk","Low Popularity","Low Priority","Review"
"2279","youtubers","Low Popularity","Low Priority","Review"
"2280","quot","Low Popularity","Low Priority","Review"
"2281","pond","Low Popularity","Low Priority","Review"
"2282","sidemen","Low Popularity","Low Priority","Review"
"2283","merch","Low Popularity","Low Priority","Review"
"2284","store","Low Popularity","Low Priority","Review"
"2285","styles","Low Popularity","Low Priority","Review"
"2286","video","Low Popularity","Low Priority","Review"
"2287","wrote","Low Popularity","Low Priority","Review"
"2288","comment","Low Popularity","Low Priority","Review"
"2289","hoodies","Low Popularity","Low Priority","Review"
"2290","hoodie","Low Popularity","Low Priority","Review"
"2291","size","Low Popularity","Low Priority","Review"
"2292","video","Low Popularity","Low Priority","Review"
"2293","review","Low Popularity","Low Priority","Review"
"2294","zoella","Low Popularity","Low Priority","Review"
"2295","beautysugg","Low Popularity","Low Priority","Review"
"2296","lifepointless","Low Popularity","Low Priority","Review"
"2297","blogfuture","Low Popularity","Low Priority","Review"
"2298","watched","Low Popularity","Low Priority","Review"
"2299","david","Low Popularity","Low Priority","Review"
"2300","watch","Low Popularity","Low Priority","Review"
"2301","sierra","Low Popularity","Low Priority","Review"
"2302","video","Low Popularity","Low Priority","Review"
"2303","ahhhh","Low Popularity","Low Priority","Review"
"2304","clickbait","Low Popularity","Low Priority","Review"
"2305","merch","Low Popularity","Low Priority","Review"
"2306","review","Low Popularity","Low Priority","Review"
"2307","rosie","Low Popularity","Low Priority","Review"
"2308","daze","Low Popularity","Low Priority","Review"
"2309","laura","Low Popularity","Low Priority","Review"
"2310","safiya","Low Popularity","Low Priority","Review"
"2311","nygard","Low Popularity","Low Priority","Review"
"2312","david","Low Popularity","Low Priority","Review"
"2313","dobriks","Low Popularity","Low Priority","Review"
"2314","clothing","Low Popularity","Low Priority","Review"
"2315","line","Low Popularity","Low Priority","Review"
"2316","hesitant","Low Popularity","Low Priority","Review"
"2317","price","Low Popularity","Low Priority","Review"
"2318","billie","Low Popularity","Low Priority","Review"
"2319","eilish","Low Popularity","Low Priority","Review"
"2320","merch","Low Popularity","Low Priority","Review"
"2321","online","Low Popularity","Low Priority","Review"
"2322","clothes","Low Popularity","Low Priority","Review"
"2323","time","Low Popularity","Low Priority","Review"
"2324","site","Low Popularity","Low Priority","Review"
"2325","amazon","Low Popularity","Low Priority","Review"
"2326","brands","Low Popularity","Low Priority","Review"
"2327","sized","Low Popularity","Low Priority","Review"
"2328","lillputans","Low Popularity","Low Priority","Review"
"2329","feel","Low Popularity","Low Priority","Review"
"2330","huge","Low Popularity","Low Priority","Review"
"2331","size","Low Popularity","Low Priority","Review"
"2332","stuff","Low Popularity","Low Priority","Review"
"2333","cute","Low Popularity","Low Priority","Review"
"2334","drives","Low Popularity","Low Priority","Review"
"2335","insane","Low Popularity","Low Priority","Review"
"2336","vlog","Low Popularity","Low Priority","Review"
"2337","squad","Low Popularity","Low Priority","Review"
"2338","hoodie","Low Popularity","Low Priority","Review"
"2339","adorable","Low Popularity","Low Priority","Review"
"2340","intro","Low Popularity","Low Priority","Review"
"2341","music","Low Popularity","Low Priority","Review"
"2342","rugrats","Low Popularity","Low Priority","Review"
"2343","childhood","Low Popularity","Low Priority","Review"
"2344","flashbacks","Low Popularity","Low Priority","Review"
"2345","love","Low Popularity","Low Priority","Review"
"2346","vids","Low Popularity","Low Priority","Review"
"2347","gonna","Low Popularity","Low Priority","Review"
"2348","sponsored","Low Popularity","Low Priority","Review"
"2349","square","Low Popularity","Low Priority","Review"
"2350","space","Low Popularity","Low Priority","Review"
"2351","support","Low Popularity","Low Priority","Review"
"2352","money","Low Popularity","Low Priority","Review"
"2353","girl","Low Popularity","Low Priority","Review"
"2354","mind","Low Popularity","Low Priority","Review"
"2355","company","Low Popularity","Low Priority","Review"
"2356","doesn","Low Popularity","Low Priority","Review"
"2357","content","Low Popularity","Low Priority","Review"
"2358","smosh","Low Popularity","Low Priority","Review"
"2359","clothing","Low Popularity","Low Priority","Review"
"2360","line","Low Popularity","Low Priority","Review"
"2361","comment","Low Popularity","Low Priority","Review"
"2362","merch","Low Popularity","Low Priority","Review"
"2363","cropped","Low Popularity","Low Priority","Review"
"2364","hoodie","Low Popularity","Low Priority","Review"
"2365","happen","Low Popularity","Low Priority","Review"
"2366","love","Low Popularity","Low Priority","Review"
"2367","review","Low Popularity","Low Priority","Review"
"2368","antonio","Low Popularity","Low Priority","Review"
"2369","garza","Low Popularity","Low Priority","Review"
"2370","merch","Low Popularity","Low Priority","Review"
"2371","girl","Low Popularity","Low Priority","Review"
"2372","review","Low Popularity","Low Priority","Review"
"2373","guys","Low Popularity","Low Priority","Review"
"2374","merch","Low Popularity","Low Priority","Review"
"2375","haley","Low Popularity","Low Priority","Review"
"2376","pham","Low Popularity","Low Priority","Review"
"2377","merch","Low Popularity","Low Priority","Review"
"2378","hoodies","Low Popularity","Low Priority","Review"
"2379","shirt","Low Popularity","Low Priority","Review"
"2380","stickers","Low Popularity","Low Priority","Review"
"2381","idea","Low Popularity","Low Priority","Review"
"2382","dolan","Low Popularity","Low Priority","Review"
"2383","twins","Low Popularity","Low Priority","Review"
"2384","woah","Low Popularity","Low Priority","Review"
"2385","youtuber","Low Popularity","Low Priority","Review"
"2386","funny","Low Popularity","Low Priority","Review"
"2387","body","Low Popularity","Low Priority","Review"
"2388","positive","Low Popularity","Low Priority","Review"
"2389","social","Low Popularity","Low Priority","Review"
"2390","media","Low Popularity","Low Priority","Review"
"2391","influencers","Low Popularity","Low Priority","Review"
"2392","catch","Low Popularity","Low Priority","Review"
"2393","intro","Low Popularity","Low Priority","Review"
"2394","2019","Low Popularity","Low Priority","Review"
"2395","love","Low Popularity","Low Priority","Review"
"2396","merch","Low Popularity","Low Priority","Review"
"2397","awesome","Low Popularity","Low Priority","Review"
"2398","video","Low Popularity","Low Priority","Review"
"2399","reviewing","Low Popularity","Low Priority","Review"
"2400","conteam","Low Popularity","Low Priority","Review"
"2401","clothing","Low Popularity","Low Priority","Review"
"2402","jess","Low Popularity","Low Priority","Review"
"2403","gabriel","Low Popularity","Low Priority","Review"
"2404","conte","Low Popularity","Low Priority","Review"
"2405","merch","Low Popularity","Low Priority","Review"
"2406","amazing","Low Popularity","Low Priority","Review"
"2407","jason","Low Popularity","Low Priority","Review"
"2408","nash","Low Popularity","Low Priority","Review"
"2409","video","Low Popularity","Low Priority","Review"
"2410","dressing","Low Popularity","Low Priority","Review"
"2411","tana","Low Popularity","Low Priority","Review"
"2412","mongeau","Low Popularity","Low Priority","Review"
"2413","week","Low Popularity","Low Priority","Review"
"2414","ashley","Low Popularity","Low Priority","Review"
"2415","graham","Low Popularity","Low Priority","Review"
"2416","swimsuit","Low Popularity","Low Priority","Review"
"2417","line","Low Popularity","Low Priority","Review"
"2418","brutally","Low Popularity","Low Priority","Review"
"2419","honest","Low Popularity","Low Priority","Review"
"2420","review","Low Popularity","Low Priority","Review"
"2421","zaful","Low Popularity","Low Priority","Review"
"2422","pretty","Low Popularity","Low Priority","Review"
"2423","surprised","Low Popularity","Low Priority","Review"
"2424","david","Low Popularity","Low Priority","Review"
"2425","dobricks","Low Popularity","Low Priority","Review"
"2426","merch","Low Popularity","Low Priority","Review"
"2427","cheaper","Low Popularity","Low Priority","Review"
"2428","youtuber","Low Popularity","Low Priority","Review"
"2429","touch","Low Popularity","Low Priority","Review"
"2430","intro","Low Popularity","Low Priority","Review"
"2431","merch","Low Popularity","Low Priority","Review"
"2432","disney","Low Popularity","Low Priority","Review"
"2433","clothing","Low Popularity","Low Priority","Review"
"2434","review","Low Popularity","Low Priority","Review"
"2435","lily","Low Popularity","Low Priority","Review"
"2436","superwoman","Low Popularity","Low Priority","Review"
"2437","merch","Low Popularity","Low Priority","Review"
"2438","loved","Low Popularity","Low Priority","Review"
"2439","video","Low Popularity","Low Priority","Review"
"2440","love","Low Popularity","Low Priority","Review"
"2441","adelaine","Low Popularity","Low Priority","Review"
"2442","morin","Low Popularity","Low Priority","Review"
"2443","merch","Low Popularity","Low Priority","Review"
"2444","updated","Low Popularity","Low Priority","Review"
"2445","sunflower","Low Popularity","Low Priority","Review"
"2446","range","Low Popularity","Low Priority","Review"
"2447","video","Low Popularity","Low Priority","Review"
"2448","maples","Low Popularity","Low Priority","Review"
"2449","true","Low Popularity","Low Priority","Review"
"2450","merrell","Low Popularity","Low Priority","Review"
"2451","twins","Low Popularity","Low Priority","Review"
"2452","girl","Low Popularity","Low Priority","Review"
"2453","talks","Low Popularity","Low Priority","Review"
"2454","hate","Low Popularity","Low Priority","Review"
"2455","sydney","Low Popularity","Low Priority","Review"
"2456","serena","Low Popularity","Low Priority","Review"
"2457","merch","Low Popularity","Low Priority","Review"
"2458","giiiiiiirl","Low Popularity","Low Priority","Review"
"2459","shorts","Low Popularity","Low Priority","Review"
"2460","bomb","Low Popularity","Low Priority","Review"
"2461","sexy","Low Popularity","Low Priority","Review"
"2462","review","Low Popularity","Low Priority","Review"
"2463","song","Low Popularity","Low Priority","Review"
"2464","styles","Low Popularity","Low Priority","Review"
"2465","clothing","Low Popularity","Low Priority","Review"
"2466","line","Low Popularity","Low Priority","Review"
"2467","manches","Low Popularity","Low Priority","Review"
"2468","changed","Low Popularity","Low Priority","Review"
"2469","video","Low Popularity","Low Priority","Review"
"2470","heard","Low Popularity","Low Priority","Review"
"2471","usual","Low Popularity","Low Priority","Review"
"2472","vlog","Low Popularity","Low Priority","Review"
"2473","music","Low Popularity","Low Priority","Review"
"2474","pretty","Low Popularity","Low Priority","Review"
"2475","rude","Low Popularity","Low Priority","Review"
"2476","clothes","Low Popularity","Low Priority","Review"
"2477","adult","Low Popularity","Low Priority","Review"
"2478","body","Low Popularity","Low Priority","Review"
"2479","built","Low Popularity","Low Priority","Review"
"2480","hasn","Low Popularity","Low Priority","Review"
"2481","puberty","Low Popularity","Low Priority","Review"
"2482","channel","Low Popularity","Low Priority","Review"
"2483","havent","Low Popularity","Low Priority","Review"
"2484","watched","Low Popularity","Low Priority","Review"
"2485","gained","Low Popularity","Low Priority","Review"
"2486","subs","Low Popularity","Low Priority","Review"
"2487","congrats","Low Popularity","Low Priority","Review"
"2488","vids","Low Popularity","Low Priority","Review"
"2489","amazing","Low Popularity","Low Priority","Review"
"2490","love","Low Popularity","Low Priority","Review"
"2491","date","Low Popularity","Low Priority","Review"
"2492","beginning","Low Popularity","Low Priority","Review"
"2493","alisha","Low Popularity","Low Priority","Review"
"2494","marie","Low Popularity","Low Priority","Review"
"2495","ohhh","Low Popularity","Low Priority","Review"
"2496","loveee","Low Popularity","Low Priority","Review"
"2497","david","Low Popularity","Low Priority","Review"
"2498","dobrik","Low Popularity","Low Priority","Review"
"2499","intro","Low Popularity","Low Priority","Review"
"2500","spinoff","Low Popularity","Low Priority","Review"
"2501","love","Low Popularity","Low Priority","Review"
"2502","opposite","Low Popularity","Low Priority","Review"
"2503","youtubers","Low Popularity","Low Priority","Review"
"2504","review","Low Popularity","Low Priority","Review"
"2505","waiting","Low Popularity","Low Priority","Review"
"2506","wondering","Low Popularity","Low Priority","Review"
"2507","heck","Low Popularity","Low Priority","Review"
"2508","trisha","Low Popularity","Low Priority","Review"
"2509","huge","Low Popularity","Low Priority","Review"
"2510","chest","Low Popularity","Low Priority","Review"
"2511","sports","Low Popularity","Low Priority","Review"
"2512","sierra","Low Popularity","Low Priority","Review"
"2513","obliques","Low Popularity","Low Priority","Review"
"2514","pleaaaaaaaaase","Low Popularity","Low Priority","Review"
"2515","safiya","Low Popularity","Low Priority","Review"
"2516","nygaard","Low Popularity","Low Priority","Review"
"2517","safiya","Low Popularity","Low Priority","Review"
"2518","nygaard","Low Popularity","Low Priority","Review"
"2519","merch","Low Popularity","Low Priority","Review"
"2520","date","Low Popularity","Low Priority","Review"
"2521","months","Low Popularity","Low Priority","Review"
"2522","taylor","Low Popularity","Low Priority","Review"
"2523","swift","Low Popularity","Low Priority","Review"
"2524","merch","Low Popularity","Low Priority","Review"
"2525","didn","High Popularity","Low Priority","Review"
"2526","noticed","High Popularity","Low Priority","Review"
"2527","date","High Popularity","Low Priority","Review"
"2528","matching","Low Popularity","Low Priority","Review"
"2529","amazing","Low Popularity","Low Priority","Review"
"2530","true","Low Popularity","Low Priority","Review"
"2531","clothes","Low Popularity","Low Priority","Review"
"2532","tana","Low Popularity","Low Priority","Review"
"2533","mongeau","Low Popularity","Low Priority","Review"
"2534","merch","Low Popularity","Low Priority","Review"
"2535","tana","Low Popularity","Low Priority","Review"
"2536","merch","Low Popularity","Low Priority","Review"
"2537","laurdiy","Low Popularity","Low Priority","Review"
"2538","review","High Popularity","Low Priority","Review"
"2539","guys","High Popularity","Low Priority","Review"
"2540","safiya","High Popularity","Low Priority","Review"
"2541","nygaard","High Popularity","Low Priority","Review"
"2542","merch","High Popularity","Low Priority","Review"
"2543","sizing","Low Popularity","Low Priority","Review"
"2544","adult","Low Popularity","Low Priority","Review"
"2545","juniors","Low Popularity","Low Priority","Review"
"2546","love","Low Popularity","Low Priority","Review"
"2547","ummm","Low Popularity","Low Priority","Review"
"2548","video","Low Popularity","Low Priority","Review"
"2549","brutally","High Popularity","Low Priority","Review"
"2550","honest","High Popularity","Low Priority","Review"
"2551","series","High Popularity","Low Priority","Review"
"2552","idea","High Popularity","Low Priority","Review"
"2553","replace","High Popularity","Low Priority","Review"
"2554","confidence","High Popularity","Low Priority","Review"
"2555","makeover","High Popularity","Low Priority","Review"
"2556","dolan","Low Popularity","Low Priority","Review"
"2557","twins","Low Popularity","Low Priority","Review"
"2558","jeffree","Low Popularity","Low Priority","Review"
"2559","star","Low Popularity","Low Priority","Review"
"2560","uploaded","Low Popularity","Low Priority","Review"
"2561","mukbang","Low Popularity","Low Priority","Review"
"2562","channel","Low Popularity","Low Priority","Review"
"2563","check","Low Popularity","Low Priority","Review"
"2564","fashion","Low Popularity","Low Priority","Review"
"2565","nova","Low Popularity","Low Priority","Review"
"2566","clothes","Low Popularity","Low Priority","Review"
"2567","honestly","Low Popularity","Low Priority","Review"
"2568","love","Low Popularity","Low Priority","Review"
"2569","review","Low Popularity","Low Priority","Review"
"2570","guys","Low Popularity","Low Priority","Review"
"2571","merch","Low Popularity","Low Priority","Review"
"2572","teen","Low Popularity","Low Priority","Review"
"2573","clothes","Low Popularity","Low Priority","Review"
"2574","jeffree","Low Popularity","Low Priority","Review"
"2575","star","Low Popularity","Low Priority","Review"
"2576","merch","Low Popularity","Low Priority","Review"
"2577","shirts","Low Popularity","Low Priority","Review"
"2578","soft","Low Popularity","Low Priority","Review"
"2579","guys","Low Popularity","Low Priority","Review"
"2580","merch","Low Popularity","Low Priority","Review"
"2581","emma","Low Popularity","Low Priority","Review"
"2582","chamberlain","Low Popularity","Low Priority","Review"
"2583","merch","Low Popularity","Low Priority","Review"
"2584","hannah","Low Popularity","Low Priority","Review"
"2585","meloche","Low Popularity","Low Priority","Review"
"2586","clickbait","Low Popularity","Low Priority","Review"
"2587","crew","Low Popularity","Low Priority","Review"
"2588","neck","Low Popularity","Low Priority","Review"
"2589","sweatshirt","Low Popularity","Low Priority","Review"
"2590","comfy","Low Popularity","Low Priority","Review"
"2591","didn","Low Popularity","Low Priority","Review"
"2592","vlog","Low Popularity","Low Priority","Review"
"2593","squad","Low Popularity","Low Priority","Review"
"2594","merch","Low Popularity","Low Priority","Review"
"2595","girl","Low Popularity","Low Priority","Review"
"2596","code","Low Popularity","Low Priority","Review"
"2597","halfornia","Low Popularity","Low Priority","Review"
"2598","brand","Low Popularity","Low Priority","Review"
"2599","https","Low Popularity","Low Priority","Review"
"2600","haliforniaapparel","Low Popularity","Low Priority","Review"
"2601","reply","Low Popularity","Low Priority","Review"
"2602","song","Low Popularity","Low Priority","Review"
"2603","called","Low Popularity","Low Priority","Review"
"2604","playing","Low Popularity","Low Priority","Review"
"2605","background","Low Popularity","Low Priority","Review"
"2606","minutes","Low Popularity","Low Priority","Review"
"2607","talking","Low Popularity","Low Priority","Review"
"2608","sierra","Low Popularity","Low Priority","Review"
"2609","swimsuits","Low Popularity","Low Priority","Review"
"2610","dresses","Low Popularity","Low Priority","Review"
"2611","arie","Low Popularity","Low Priority","Review"
"2612","love","Low Popularity","Low Priority","Review"
"2613","sierra","Low Popularity","Low Priority","Review"
"2614","forever","Low Popularity","Low Priority","Review"
"2615","laurdiy","Low Popularity","Low Priority","Review"
"2616","kits","Low Popularity","Low Priority","Review"
"2617","review","Low Popularity","Low Priority","Review"
"2618","lauren","Low Popularity","Low Priority","Review"
"2619","elizabeth","Low Popularity","Low Priority","Review"
"2620","brand","Low Popularity","Low Priority","Review"
"2621","uneven","Low Popularity","Low Priority","Review"
"2622","spray","Low Popularity","Low Priority","Review"
"2623","professionally","Low Popularity","Low Priority","Review"
"2624","color","Low Popularity","Low Priority","Review"
"2625","trump","Low Popularity","Low Priority","Review"
"2626","orange","Low Popularity","Low Priority","Review"
"2627","tummy","Low Popularity","Low Priority","Review"
"2628","pillsbury","Low Popularity","Low Priority","Review"
"2629","dough","Low Popularity","Low Priority","Review"
"2630","sponsored","Medium Popularity","Low Priority","Review"
"2631","seatgeek","Medium Popularity","Low Priority","Review"
"2632","pull","Low Popularity","Low Priority","Review"
"2633","bear","Low Popularity","Low Priority","Review"
"2634","clothes","Low Popularity","Low Priority","Review"
"2635","cropped","Low Popularity","Low Priority","Review"
"2636","hoodie","Low Popularity","Low Priority","Review"
"2637","shorts","Low Popularity","Low Priority","Review"
"2638","looked","Low Popularity","Low Priority","Review"
"2639","cute","Low Popularity","Low Priority","Review"
"2640","video","High Popularity","Low Priority","Review"
"2641","love","High Popularity","Low Priority","Review"
"2642","glowy","High Popularity","Low Priority","Review"
"2643","jeffrey","High Popularity","Low Priority","Review"
"2644","starr","High Popularity","Low Priority","Review"
"2645","merch","High Popularity","Low Priority","Review"
"2646","wonderful","High Popularity","Low Priority","Review"
"2647","pretty","High Popularity","Low Priority","Review"
"2648","true","High Popularity","Low Priority","Review"
"2649","size","High Popularity","Low Priority","Review"
"2650","shirt","High Popularity","Low Priority","Review"
"2651","extra","High Popularity","Low Priority","Review"
"2652","jess","Low Popularity","Low Priority","Review"
"2653","rest","Low Popularity","Low Priority","Review"
"2654","vlog","Low Popularity","Low Priority","Review"
"2655","squads","Low Popularity","Low Priority","Review"
"2656","merch","Low Popularity","Low Priority","Review"
"2657","jeff","Low Popularity","Low Priority","Review"
"2658","scott","Low Popularity","Low Priority","Review"
"2659","jason","Low Popularity","Low Priority","Review"
"2660","love","High Popularity","Low Priority","Review"
"2661","rosie","High Popularity","Low Priority","Review"
"2662","youtube","High Popularity","Low Priority","Review"
"2663","clothing","High Popularity","Low Priority","Review"
"2664","review","High Popularity","Low Priority","Review"
"2665","casey","High Popularity","Low Priority","Review"
"2666","holmes","High Popularity","Low Priority","Review"
"2667","boutique","High Popularity","Low Priority","Review"
"2668","sweet","Low Popularity","Low Priority","Review"
"2669","cute","Low Popularity","Low Priority","Review"
"2670","watching","Low Popularity","Low Priority","Review"
"2671","videos","Low Popularity","Low Priority","Review"
"2672","time","Low Popularity","Low Priority","Review"
"2673","girl","Low Popularity","Low Priority","Review"
"2674","rosie","High Popularity","Low Priority","Review"
"2675","daze","High Popularity","Low Priority","Review"
"2676","boutique","High Popularity","Low Priority","Review"
"2677","casey","High Popularity","Low Priority","Review"
"2678","holmes","High Popularity","Low Priority","Review"
"2679","honestly","High Popularity","Low Priority","Review"
"2680","david","High Popularity","Low Priority","Review"
"2681","dobrik","High Popularity","Low Priority","Review"
"2682","merch","High Popularity","Low Priority","Review"
"2683","affordable","High Popularity","Low Priority","Review"
"2684","youtubers","High Popularity","Low Priority","Review"
"2685","feel","High Popularity","Low Priority","Review"
"2686","hoodies","High Popularity","Low Priority","Review"
"2687","yess","Low Popularity","Low Priority","Review"
"2688","love","Low Popularity","Low Priority","Review"
"2689","excited","Low Popularity","Low Priority","Review"
"2690","merch","Low Popularity","Low Priority","Review"
"2691","haven","Low Popularity","Low Priority","Review"
"2692","hands","Low Popularity","Low Priority","Review"
"2693","wait","Low Popularity","Low Priority","Review"
"2694","watch","Low Popularity","Low Priority","Review"
"2695","post","High Popularity","Low Priority","Review"
"2696","measurements","High Popularity","Low Priority","Review"
"2697","mentioned","High Popularity","Low Priority","Review"
"2698","inch","High Popularity","Low Priority","Review"
"2699","bust","High Popularity","Low Priority","Review"
"2700","video","High Popularity","Low Priority","Review"
"2701","super","High Popularity","Low Priority","Review"
"2702","helpful","High Popularity","Low Priority","Review"
"2703","exact","High Popularity","Low Priority","Review"
"2704","size","High Popularity","Low Priority","Review"
"2705","added","High Popularity","Low Priority","Review"
"2706","waist","High Popularity","Low Priority","Review"
"2707","idea","High Popularity","Low Priority","Review"
"2708","stuff","High Popularity","Low Priority","Review"
"2709","love","High Popularity","Low Priority","Review"
"2710","channel","High Popularity","Low Priority","Review"
"2711","blue","Medium Popularity","Low Priority","Review"
"2712","vlog","Medium Popularity","Low Priority","Review"
"2713","squad","Medium Popularity","Low Priority","Review"
"2714","hoodie","Medium Popularity","Low Priority","Review"
"2715","cute","Medium Popularity","Low Priority","Review"
"2716","cropped","Medium Popularity","Low Priority","Review"
"2717","hate","Low Popularity","Low Priority","Review"
"2718","david","Low Popularity","Low Priority","Review"
"2719","dobrik","Low Popularity","Low Priority","Review"
